Dam (m²/s);Densidade (mol/m³);Pressão de vapor (Pa);Tempo de evaporação (s)
9.44444e-05;1088.89;3.09;9234358.11
1.00000e-04;1088.89;3.09;8721338.22
5.00000e-05;1111.11;3.09;17798649.43
5.55556e-05;1111.11;3.09;16018784.48
6.11111e-05;1111.11;3.09;14562531.35
6.66667e-05;1111.11;3.09;13348987.07
7.22222e-05;1111.11;3.09;12322141.91
7.77778e-05;1111.11;3.09;11441988.92
8.33333e-05;1111.11;3.09;10679189.66
8.88889e-05;1111.11;3.09;10011740.30
9.44444e-05;1111.11;3.09;9422814.40
1.00000e-04;1111.11;3.09;8899324.71
5.00000e-05;1133.33;3.09;18154622.41
5.55556e-05;1133.33;3.09;16339160.17
6.11111e-05;1133.33;3.09;14853781.97
6.66667e-05;1133.33;3.09;13615966.81
7.22222e-05;1133.33;3.09;12568584.75
7.77778e-05;1133.33;3.09;11670828.69
8.33333e-05;1133.33;3.09;10892773.45
8.88889e-05;1133.33;3.09;10211975.11
9.44444e-05;1133.33;3.09;9611270.69
1.00000e-04;1133.33;3.09;9077311.21
5.00000e-05;1155.56;3.09;18510595.40
5.55556e-05;1155.56;3.09;16659535.86
6.11111e-05;1155.56;3.09;15145032.60
6.66667e-05;1155.56;3.09;13882946.55
7.22222e-05;1155.56;3.09;12815027.59
7.77778e-05;1155.56;3.09;11899668.47
8.33333e-05;1155.56;3.09;11106357.24
8.88889e-05;1155.56;3.09;10412209.91
9.44444e-05;1155.56;3.09;9799726.98
1.00000e-04;1155.56;3.09;9255297.70
5.00000e-05;1177.78;3.09;18866568.39
5.55556e-05;1177.78;3.09;16979911.55
6.11111e-05;1177.78;3.09;15436283.23
6.66667e-05;1177.78;3.09;14149926.29
7.22222e-05;1177.78;3.09;13061470.42
7.77778e-05;1177.78;3.09;12128508.25
8.33333e-05;1177.78;3.09;11319941.03
8.88889e-05;1177.78;3.09;10612444.72
9.44444e-05;1177.78;3.09;9988183.27
1.00000e-04;1177.78;3.09;9433284.20
5.00000e-05;1200.00;3.09;19222541.38
5.55556e-05;1200.00;3.09;17300287.24
6.11111e-05;1200.00;3.09;15727533.86
6.66667e-05;1200.00;3.09;14416906.03
7.22222e-05;1200.00;3.09;13307913.26
7.77778e-05;1200.00;3.09;12357348.03
8.33333e-05;1200.00;3.09;11533524.83
8.88889e-05;1200.00;3.09;10812679.53
9.44444e-05;1200.00;3.09;10176639.55
1.00000e-04;1200.00;3.09;9611270.69
5.00000e-05;1000.00;3.16;15658811.80
5.55556e-05;1000.00;3.16;14092930.62
6.11111e-05;1000.00;3.16;12811755.11
6.66667e-05;1000.00;3.16;11744108.85
7.22222e-05;1000.00;3.16;10840715.86
7.77778e-05;1000.00;3.16;10066379.01
8.33333e-05;1000.00;3.16;9395287.08
8.88889e-05;1000.00;3.16;8808081.64
9.44444e-05;1000.00;3.16;8289959.19
1.00000e-04;1000.00;3.16;7829405.90
5.00000e-05;1022.22;3.16;16006785.39
5.55556e-05;1022.22;3.16;14406106.85
6.11111e-05;1022.22;3.16;13096460.78
6.66667e-05;1022.22;3.16;12005089.04
7.22222e-05;1022.22;3.16;11081620.66
7.77778e-05;1022.22;3.16;10290076.32
8.33333e-05;1022.22;3.16;9604071.24
8.88889e-05;1022.22;3.16;9003816.78
9.44444e-05;1022.22;3.16;8474180.50
1.00000e-04;1022.22;3.16;8003392.70
5.00000e-05;1044.44;3.16;16354758.99
5.55556e-05;1044.44;3.16;14719283.09
6.11111e-05;1044.44;3.16;13381166.45
6.66667e-05;1044.44;3.16;12266069.24
7.22222e-05;1044.44;3.16;11322525.45
7.77778e-05;1044.44;3.16;10513773.64
8.33333e-05;1044.44;3.16;9812855.39
8.88889e-05;1044.44;3.16;9199551.93
9.44444e-05;1044.44;3.16;8658401.82
1.00000e-04;1044.44;3.16;8177379.49
5.00000e-05;1066.67;3.16;16702732.58
5.55556e-05;1066.67;3.16;15032459.33
6.11111e-05;1066.67;3.16;13665872.11
6.66667e-05;1066.67;3.16;12527049.44
7.22222e-05;1066.67;3.16;11563430.25
7.77778e-05;1066.67;3.16;10737470.95
8.33333e-05;1066.67;3.16;10021639.55
8.88889e-05;1066.67;3.16;9395287.08
9.44444e-05;1066.67;3.16;8842623.13
1.00000e-04;1066.67;3.16;8351366.29
5.00000e-05;1088.89;3.16;17050706.18
5.55556e-05;1088.89;3.16;15345635.56
6.11111e-05;1088.89;3.16;13950577.78
