Distância da Fonte [R];Dam [m²/2];Pressao parcial [Pa];Distribuição do Tempo de Difusão;Pressão Total [P]
0.01;8e-05;3.072;529.933;4
0.019;8e-05;3.072;1913.06;4
0.028;8e-05;3.072;4154.67;4
0.037;8e-05;3.072;7254.78;4
0.046;8e-05;3.072;11213.4;4
0.055;8e-05;3.072;16030.5;4
0.064;8e-05;3.072;21706;4
0.073;8e-05;3.072;28240.1;4
0.082;8e-05;3.072;35632.7;4
0.091;8e-05;3.072;43883.7;4
0.1;8e-05;3.072;52993.3;4
0.01;8.5e-05;3.072;498.76;4
0.019;8.5e-05;3.072;1800.52;4
0.028;8.5e-05;3.072;3910.28;4
0.037;8.5e-05;3.072;6828.03;4
0.046;8.5e-05;3.072;10553.8;4
0.055;8.5e-05;3.072;15087.5;4
0.064;8.5e-05;3.072;20429.2;4
0.073;8.5e-05;3.072;26578.9;4
0.082;8.5e-05;3.072;33536.6;4
0.091;8.5e-05;3.072;41302.3;4
0.1;8.5e-05;3.072;49876;4
0.01;9e-05;3.072;471.051;4
0.019;9e-05;3.072;1700.5;4
0.028;9e-05;3.072;3693.04;4
0.037;9e-05;3.072;6448.69;4
0.046;9e-05;3.072;9967.45;4
0.055;9e-05;3.072;14249.3;4
0.064;9e-05;3.072;19294.3;4
0.073;9e-05;3.072;25102.3;4
0.082;9e-05;3.072;31673.5;4
0.091;9e-05;3.072;39007.8;4
0.1;9e-05;3.072;47105.1;4
0.01;9.5e-05;3.072;446.259;4
0.019;9.5e-05;3.072;1611;4
0.028;9.5e-05;3.072;3498.67;4
0.037;9.5e-05;3.072;6109.29;4
0.046;9.5e-05;3.072;9442.84;4
0.055;9.5e-05;3.072;13499.3;4
0.064;9.5e-05;3.072;18278.8;4
0.073;9.5e-05;3.072;23781.2;4
0.082;9.5e-05;3.072;30006.5;4
0.091;9.5e-05;3.072;36954.7;4
0.1;9.5e-05;3.072;44625.9;4
0.01;0.0001;3.072;423.946;4
0.019;0.0001;3.072;1530.45;4
0.028;0.0001;3.072;3323.74;4
0.037;0.0001;3.072;5803.82;4
0.046;0.0001;3.072;8970.7;4
0.055;0.0001;3.072;12824.4;4
0.064;0.0001;3.072;17364.8;4
0.073;0.0001;3.072;22592.1;4
0.082;0.0001;3.072;28506.1;4
0.091;0.0001;3.072;35107;4
0.1;0.0001;3.072;42394.6;4
0.01;5e-05;3.136;808.355;4
0.019;5e-05;3.136;2918.16;4
0.028;5e-05;3.136;6337.51;4
0.037;5e-05;3.136;11066.4;4
0.046;5e-05;3.136;17104.8;4
0.055;5e-05;3.136;24452.8;4
0.064;5e-05;3.136;33110.2;4
0.073;5e-05;3.136;43077.3;4
0.082;5e-05;3.136;54353.8;4
0.091;5e-05;3.136;66939.9;4
0.1;5e-05;3.136;80835.5;4
0.01;5.5e-05;3.136;734.869;4
0.019;5.5e-05;3.136;2652.88;4
0.028;5.5e-05;3.136;5761.37;4
