Dam_m2_s;Ca_mol_m3;L_membrana_m
1.205128e-05;0.669231;72.837901
1.205128e-05;0.676923;71.143996
1.205128e-05;0.684615;69.450091
1.205128e-05;0.692308;67.756187
1.205128e-05;0.700000;66.062282
1.205128e-05;0.707692;64.368377
1.205128e-05;0.715385;62.674473
1.205128e-05;0.723077;60.980568
1.205128e-05;0.730769;59.286663
1.205128e-05;0.738462;57.592759
1.205128e-05;0.746154;55.898854
1.205128e-05;0.753846;54.204949
1.205128e-05;0.761538;52.511045
1.205128e-05;0.769231;50.817140
1.205128e-05;0.776923;49.123235
1.205128e-05;0.784615;47.429331
1.205128e-05;0.792308;45.735426
1.205128e-05;0.800000;44.041521
1.230769e-05;0.500000;107.809974
1.230769e-05;0.507692;106.151359
1.230769e-05;0.515385;104.492744
1.230769e-05;0.523077;102.834129
1.230769e-05;0.530769;101.175514
1.230769e-05;0.538462;99.516899
1.230769e-05;0.546154;97.858284
1.230769e-05;0.553846;96.199669
1.230769e-05;0.561538;94.541054
1.230769e-05;0.569231;92.882439
1.230769e-05;0.576923;91.223824
1.230769e-05;0.584615;89.565209
1.230769e-05;0.592308;87.906594
1.230769e-05;0.600000;86.247979
1.230769e-05;0.607692;84.589364
1.230769e-05;0.615385;82.930749
1.230769e-05;0.623077;81.272134
1.230769e-05;0.630769;79.613519
1.230769e-05;0.638462;77.954904
1.230769e-05;0.646154;76.296289
1.230769e-05;0.653846;74.637674
1.230769e-05;0.661538;72.979059
1.230769e-05;0.669231;71.320444
1.230769e-05;0.676923;69.661829
1.230769e-05;0.684615;68.003215
1.230769e-05;0.692308;66.344600
1.230769e-05;0.700000;64.685985
1.230769e-05;0.707692;63.027370
1.230769e-05;0.715385;61.368755
1.230769e-05;0.723077;59.710140
1.230769e-05;0.730769;58.051525
1.230769e-05;0.738462;56.392910
1.230769e-05;0.746154;54.734295
1.230769e-05;0.753846;53.075680
1.230769e-05;0.761538;51.417065
1.230769e-05;0.769231;49.758450
1.230769e-05;0.776923;48.099835
1.230769e-05;0.784615;46.441220
1.230769e-05;0.792308;44.782605
1.230769e-05;0.800000;43.123990
1.256410e-05;0.500000;105.609771
1.256410e-05;0.507692;103.985005
1.256410e-05;0.515385;102.360239
1.256410e-05;0.523077;100.735474
1.256410e-05;0.530769;99.110708
1.256410e-05;0.538462;97.485942
1.256410e-05;0.546154;95.861176
1.256410e-05;0.553846;94.236411
1.256410e-05;0.561538;92.611645
1.256410e-05;0.569231;90.986879
1.256410e-05;0.576923;89.362114
1.256410e-05;0.584615;87.737348
1.256410e-05;0.592308;86.112582
1.256410e-05;0.600000;84.487817
1.256410e-05;0.607692;82.863051
1.256410e-05;0.615385;81.238285
1.256410e-05;0.623077;79.613519
1.256410e-05;0.630769;77.988754
1.256410e-05;0.638462;76.363988
1.256410e-05;0.646154;74.739222
1.256410e-05;0.653846;73.114457
1.256410e-05;0.661538;71.489691
1.256410e-05;0.669231;69.864925
1.256410e-05;0.676923;68.240160
1.256410e-05;0.684615;66.615394
1.256410e-05;0.692308;64.990628
1.256410e-05;0.700000;63.365862
1.256410e-05;0.707692;61.741097
1.256410e-05;0.715385;60.116331
1.256410e-05;0.723077;58.491565
1.256410e-05;0.730769;56.866800
1.256410e-05;0.738462;55.242034
1.256410e-05;0.746154;53.617268
1.256410e-05;0.753846;51.992502
1.256410e-05;0.761538;50.367737
1.256410e-05;0.769231;48.742971
1.256410e-05;0.776923;47.118205
1.256410e-05;0.784615;45.493440
1.256410e-05;0.792308;43.868674
1.256410e-05;0.800000;42.243908
1.282051e-05;0.500000;103.497575
1.282051e-05;0.507692;101.905305
1.282051e-05;0.515385;100.313034
1.282051e-05;0.523077;98.720764
1.282051e-05;0.530769;97.128494
1.282051e-05;0.538462;95.536223
1.282051e-05;0.546154;93.943953
1.282051e-05;0.553846;92.351683
1.282051e-05;0.561538;90.759412
1.282051e-05;0.569231;89.167142
1.282051e-05;0.576923;87.574871
1.282051e-05;0.584615;85.982601
1.282051e-05;0.592308;84.390331
1.282051e-05;0.600000;82.798060
1.282051e-05;0.607692;81.205790
1.282051e-05;0.615385;79.613519
1.282051e-05;0.623077;78.021249
1.282051e-05;0.630769;76.428979
1.282051e-05;0.638462;74.836708
1.282051e-05;0.646154;73.244438
1.282051e-05;0.653846;71.652167
1.282051e-05;0.661538;70.059897
1.282051e-05;0.669231;68.467627
1.282051e-05;0.676923;66.875356
1.282051e-05;0.684615;65.283086
1.282051e-05;0.692308;63.690816
1.282051e-05;0.700000;62.098545
1.282051e-05;0.707692;60.506275
1.282051e-05;0.715385;58.914004
1.282051e-05;0.723077;57.321734
1.282051e-05;0.730769;55.729464
1.282051e-05;0.738462;54.137193
1.282051e-05;0.746154;52.544923
1.282051e-05;0.753846;50.952652
1.282051e-05;0.761538;49.360382
1.282051e-05;0.769231;47.768112
1.282051e-05;0.776923;46.175841
1.282051e-05;0.784615;44.583571
1.282051e-05;0.792308;42.991300
1.282051e-05;0.800000;41.399030
1.307692e-05;0.500000;101.468211
1.307692e-05;0.507692;99.907162
1.307692e-05;0.515385;98.346112
1.307692e-05;0.523077;96.785063
1.307692e-05;0.530769;95.224013
1.307692e-05;0.538462;93.662964
1.307692e-05;0.546154;92.101915
1.307692e-05;0.553846;90.540865
1.307692e-05;0.561538;88.979816
1.307692e-05;0.569231;87.418766
1.307692e-05;0.576923;85.857717
1.307692e-05;0.584615;84.296668
1.307692e-05;0.592308;82.735618
1.307692e-05;0.600000;81.174569
1.307692e-05;0.607692;79.613519
1.307692e-05;0.615385;78.052470
1.307692e-05;0.623077;76.491421
1.307692e-05;0.630769;74.930371
1.307692e-05;0.638462;73.369322
1.307692e-05;0.646154;71.808272
1.307692e-05;0.653846;70.247223
1.307692e-05;0.661538;68.686174
1.307692e-05;0.669231;67.125124
1.307692e-05;0.676923;65.564075
1.307692e-05;0.684615;64.003025
1.307692e-05;0.692308;62.441976
1.307692e-05;0.700000;60.880927
1.307692e-05;0.707692;59.319877
1.307692e-05;0.715385;57.758828
1.307692e-05;0.723077;56.197778
1.307692e-05;0.730769;54.636729
1.307692e-05;0.738462;53.075680
1.307692e-05;0.746154;51.514630
1.307692e-05;0.753846;49.953581
1.307692e-05;0.761538;48.392531
1.307692e-05;0.769231;46.831482
1.307692e-05;0.776923;45.270433
1.307692e-05;0.784615;43.709383
1.307692e-05;0.792308;42.148334
1.307692e-05;0.800000;40.587284
1.333333e-05;0.500000;99.516899
1.333333e-05;0.507692;97.985870
1.333333e-05;0.515385;96.454841
1.333333e-05;0.523077;94.923812
1.333333e-05;0.530769;93.392782
1.333333e-05;0.538462;91.861753
1.333333e-05;0.546154;90.330724
1.333333e-05;0.553846;88.799695
1.333333e-05;0.561538;87.268666
1.333333e-05;0.569231;85.737636
1.333333e-05;0.576923;84.206607
1.333333e-05;0.584615;82.675578
1.333333e-05;0.592308;81.144549
1.333333e-05;0.600000;79.613519
1.333333e-05;0.607692;78.082490
1.333333e-05;0.615385;76.551461
1.333333e-05;0.623077;75.020432
1.333333e-05;0.630769;73.489403
1.333333e-05;0.638462;71.958373
1.333333e-05;0.646154;70.427344
1.333333e-05;0.653846;68.896315
1.333333e-05;0.661538;67.365286
1.333333e-05;0.669231;65.834256
1.333333e-05;0.676923;64.303227
1.333333e-05;0.684615;62.772198
1.333333e-05;0.692308;61.241169
1.333333e-05;0.700000;59.710140
1.333333e-05;0.707692;58.179110
1.333333e-05;0.715385;56.648081
1.333333e-05;0.723077;55.117052
1.333333e-05;0.730769;53.586023
1.333333e-05;0.738462;52.054993
1.333333e-05;0.746154;50.523964
1.333333e-05;0.753846;48.992935
1.333333e-05;0.761538;47.461906
1.333333e-05;0.769231;45.930877
1.333333e-05;0.776923;44.399847
1.333333e-05;0.784615;42.868818
1.333333e-05;0.792308;41.337789
1.333333e-05;0.800000;39.806760
1.358974e-05;0.500000;97.639222
1.358974e-05;0.507692;96.137080
1.358974e-05;0.515385;94.634938
1.358974e-05;0.523077;93.132796
1.358974e-05;0.530769;91.630654
1.358974e-05;0.538462;90.128513
1.358974e-05;0.546154;88.626371
1.358974e-05;0.553846;87.124229
1.358974e-05;0.561538;85.622087
1.358974e-05;0.569231;84.119945
1.358974e-05;0.576923;82.617803
1.358974e-05;0.584615;81.115661
1.358974e-05;0.592308;79.613519
1.358974e-05;0.600000;78.111378
1.358974e-05;0.607692;76.609236
1.358974e-05;0.615385;75.107094
1.358974e-05;0.623077;73.604952
1.358974e-05;0.630769;72.102810
1.358974e-05;0.638462;70.600668
1.358974e-05;0.646154;69.098526
1.358974e-05;0.653846;67.596384
1.358974e-05;0.661538;66.094243
1.358974e-05;0.669231;64.592101
1.358974e-05;0.676923;63.089959
1.358974e-05;0.684615;61.587817
1.358974e-05;0.692308;60.085675
1.358974e-05;0.700000;58.583533
1.358974e-05;0.707692;57.081391
1.358974e-05;0.715385;55.579249
1.358974e-05;0.723077;54.077108
1.358974e-05;0.730769;52.574966
1.358974e-05;0.738462;51.072824
1.358974e-05;0.746154;49.570682
1.358974e-05;0.753846;48.068540
1.358974e-05;0.761538;46.566398
1.358974e-05;0.769231;45.064256
1.358974e-05;0.776923;43.562114
1.358974e-05;0.784615;42.059973
1.358974e-05;0.792308;40.557831
1.358974e-05;0.800000;39.055689
1.384615e-05;0.500000;95.831088
1.384615e-05;0.507692;94.356764
1.384615e-05;0.515385;92.882439
1.384615e-05;0.523077;91.408115
1.384615e-05;0.530769;89.933790
1.384615e-05;0.538462;88.459466
1.384615e-05;0.546154;86.985142
1.384615e-05;0.553846;85.510817
1.384615e-05;0.561538;84.036493
1.384615e-05;0.569231;82.562168
1.384615e-05;0.576923;81.087844
1.384615e-05;0.584615;79.613519
1.384615e-05;0.592308;78.139195
1.384615e-05;0.600000;76.664871
1.384615e-05;0.607692;75.190546
1.384615e-05;0.615385;73.716222
1.384615e-05;0.623077;72.241897
1.384615e-05;0.630769;70.767573
1.384615e-05;0.638462;69.293248
1.384615e-05;0.646154;67.818924
