Dam (Difusividade no ar);Densidade;Pressão de Vapor;Tempo de Evaporacao;Pressão Total
8e-05;1100;3.008;5.72632e+10;4
8.5e-05;1100;3.008;5.38948e+10;4
9e-05;1100;3.008;5.09006e+10;4
9.5e-05;1100;3.008;4.82217e+10;4
0.0001;1100;3.008;4.58106e+10;4
5e-05;1120;3.008;9.3287e+10;4
5.5e-05;1120;3.008;8.48064e+10;4
6e-05;1120;3.008;7.77392e+10;4
6.5e-05;1120;3.008;7.17592e+10;4
7e-05;1120;3.008;6.66336e+10;4
7.5e-05;1120;3.008;6.21913e+10;4
8e-05;1120;3.008;5.83044e+10;4
8.5e-05;1120;3.008;5.48747e+10;4
9e-05;1120;3.008;5.18261e+10;4
9.5e-05;1120;3.008;4.90984e+10;4
0.0001;1120;3.008;4.66435e+10;4
5e-05;1140;3.008;9.49528e+10;4
5.5e-05;1140;3.008;8.63208e+10;4
6e-05;1140;3.008;7.91274e+10;4
6.5e-05;1140;3.008;7.30406e+10;4
7e-05;1140;3.008;6.78235e+10;4
7.5e-05;1140;3.008;6.33019e+10;4
8e-05;1140;3.008;5.93455e+10;4
8.5e-05;1140;3.008;5.58546e+10;4
9e-05;1140;3.008;5.27516e+10;4
9.5e-05;1140;3.008;4.99752e+10;4
0.0001;1140;3.008;4.74764e+10;4
5e-05;1160;3.008;9.66187e+10;4
5.5e-05;1160;3.008;8.78352e+10;4
6e-05;1160;3.008;8.05156e+10;4
6.5e-05;1160;3.008;7.43221e+10;4
7e-05;1160;3.008;6.90133e+10;4
7.5e-05;1160;3.008;6.44124e+10;4
8e-05;1160;3.008;6.03867e+10;4
8.5e-05;1160;3.008;5.68345e+10;4
9e-05;1160;3.008;5.3677e+10;4
9.5e-05;1160;3.008;5.08519e+10;4
0.0001;1160;3.008;4.83093e+10;4
5e-05;1180;3.008;9.82845e+10;4
5.5e-05;1180;3.008;8.93496e+10;4
6e-05;1180;3.008;8.19038e+10;4
6.5e-05;1180;3.008;7.56035e+10;4
7e-05;1180;3.008;7.02032e+10;4
7.5e-05;1180;3.008;6.5523e+10;4
8e-05;1180;3.008;6.14278e+10;4
8.5e-05;1180;3.008;5.78144e+10;4
9e-05;1180;3.008;5.46025e+10;4
9.5e-05;1180;3.008;5.17287e+10;4
0.0001;1180;3.008;4.91423e+10;4
5e-05;1200;3.008;9.99504e+10;4
5.5e-05;1200;3.008;9.0864e+10;4
6e-05;1200;3.008;8.3292e+10;4
6.5e-05;1200;3.008;7.68849e+10;4
7e-05;1200;3.008;7.13931e+10;4
7.5e-05;1200;3.008;6.66336e+10;4
8e-05;1200;3.008;6.2469e+10;4
8.5e-05;1200;3.008;5.87943e+10;4
9e-05;1200;3.008;5.5528e+10;4
9.5e-05;1200;3.008;5.26054e+10;4
0.0001;1200;3.008;4.99752e+10;4
5e-05;1000;3.072;7.94899e+10;4
5.5e-05;1000;3.072;7.22636e+10;4
6e-05;1000;3.072;6.62416e+10;4
6.5e-05;1000;3.072;6.11461e+10;4
7e-05;1000;3.072;5.67785e+10;4
7.5e-05;1000;3.072;5.29933e+10;4
8e-05;1000;3.072;4.96812e+10;4
8.5e-05;1000;3.072;4.67588e+10;4
9e-05;1000;3.072;4.41611e+10;4
9.5e-05;1000;3.072;4.18368e+10;4
0.0001;1000;3.072;3.9745e+10;4
5e-05;1020;3.072;8.10797e+10;4
5.5e-05;1020;3.072;7.37088e+10;4
6e-05;1020;3.072;6.75664e+10;4
6.5e-05;1020;3.072;6.2369e+10;4
7e-05;1020;3.072;5.79141e+10;4
7.5e-05;1020;3.072;5.40531e+10;4
8e-05;1020;3.072;5.06748e+10;4
8.5e-05;1020;3.072;4.76939e+10;4
9e-05;1020;3.072;4.50443e+10;4
9.5e-05;1020;3.072;4.26735e+10;4
0.0001;1020;3.072;4.05399e+10;4
5e-05;1040;3.072;8.26695e+10;4
5.5e-05;1040;3.072;7.51541e+10;4
6e-05;1040;3.072;6.88913e+10;4
6.5e-05;1040;3.072;6.35919e+10;4
7e-05;1040;3.072;5.90497e+10;4
7.5e-05;1040;3.072;5.5113e+10;4
8e-05;1040;3.072;5.16684e+10;4
8.5e-05;1040;3.072;4.86291e+10;4
9e-05;1040;3.072;4.59275e+10;4
9.5e-05;1040;3.072;4.35103e+10;4
0.0001;1040;3.072;4.13348e+10;4
5e-05;1060;3.072;8.42593e+10;4
5.5e-05;1060;3.072;7.65994e+10;4
6e-05;1060;3.072;7.02161e+10;4
6.5e-05;1060;3.072;6.48149e+10;4
7e-05;1060;3.072;6.01852e+10;4
7.5e-05;1060;3.072;5.61729e+10;4
8e-05;1060;3.072;5.26621e+10;4
8.5e-05;1060;3.072;4.95643e+10;4
9e-05;1060;3.072;4.68107e+10;4
9.5e-05;1060;3.072;4.4347e+10;4
0.0001;1060;3.072;4.21297e+10;4
5e-05;1080;3.072;8.58491e+10;4
5.5e-05;1080;3.072;7.80446e+10;4
6e-05;1080;3.072;7.15409e+10;4
6.5e-05;1080;3.072;6.60378e+10;4
7e-05;1080;3.072;6.13208e+10;4
7.5e-05;1080;3.072;5.72327e+10;4
8e-05;1080;3.072;5.36557e+10;4
8.5e-05;1080;3.072;5.04995e+10;4
9e-05;1080;3.072;4.76939e+10;4
9.5e-05;1080;3.072;4.51837e+10;4
0.0001;1080;3.072;4.29246e+10;4
5e-05;1100;3.072;8.74389e+10;4
5.5e-05;1100;3.072;7.94899e+10;4
6e-05;1100;3.072;7.28658e+10;4
6.5e-05;1100;3.072;6.72607e+10;4
7e-05;1100;3.072;6.24564e+10;4
7.5e-05;1100;3.072;5.82926e+10;4
8e-05;1100;3.072;5.46493e+10;4
